train_rmse,r2_train,train_mae,val_rmse,r2_val,val_mae,test_rmse:,test_mae:,r2_test:
421.34137,-1.8092367667290157,309.95154,175.10277,0.2591565190052947,134.23035,250.27652,188.33856,-0.4308190173341293
193.39395,0.41017983335058805,139.96346,127.80408,0.6688626771737134,93.453636,165.84616,113.44922,0.4827349068912694
159.15439,0.6078457399761088,102.551544,94.645584,0.7595981289784788,69.14786,158.02368,111.81071,0.565152197956983
142.95235,0.6864502665950669,88.38802,121.428314,0.6834513158811509,90.636375,150.73958,103.22705,0.6045864404625341
133.0643,0.7302390506112615,81.782974,115.72657,0.70508003342814,91.02759,148.3535,109.99979,0.5205225250801746
127.38539,0.7518312437426146,79.39586,101.758156,0.7926747564789925,76.01605,123.121086,88.29579,0.6941937430977487
114.06546,0.7920051138199882,64.82496,77.03037,0.8606706954648569,56.39254,145.72614,99.62004,0.6273086297941035
117.38956,0.7867652578022899,66.071754,96.855835,0.8150548693601183,75.39081,137.5129,99.19456,0.6702659707774575
120.39674,0.7777161247166391,68.30462,87.93014,0.8300513979840962,69.56556,133.60788,96.12253,0.6936234859945687
101.41638,0.8346807841351933,59.802692,92.70267,0.8064409955696124,65.61134,123.02307,85.78284,0.7433372846171175
109.19906,0.8136144730712223,59.174118,112.04295,0.7454253076886757,85.2504,127.86047,104.25246,0.7158494529479879
111.20524,0.8116253066202619,62.596966,84.5658,0.8497288429983325,61.868942,130.59001,81.40657,0.6501306742143951
107.59561,0.8206487356404647,54.33527,86.80029,0.845715146956567,63.330242,124.24447,81.88246,0.7029096334445906
99.36844,0.8469910934276293,47.33703,92.79873,0.83269666331041,66.72638,126.18254,82.751785,0.7352476096915479
92.94884,0.8675948419745304,42.064,80.70126,0.8657100984566258,53.949898,126.33287,84.445404,0.7194915935167796
92.06755,0.8659694630852101,40.22149,84.89585,0.8426959709848362,57.83661,107.7403,67.42738,0.802385772207812
89.98777,0.8775439308799318,39.881252,81.605484,0.8453714005840576,57.207153,125.30494,79.63163,0.7450071013723484
93.544975,0.8691116739498462,42.332104,86.56937,0.8507473594943631,58.683487,129.0027,81.311966,0.6967233068784542
87.46082,0.8774439571734982,41.152107,102.09961,0.8017045777220069,69.19377,118.964554,77.06387,0.7583944191460503
94.963,0.8538210726352085,46.6711,85.46709,0.8543246825781352,60.571686,85.828186,56.995197,0.7845869970266421
95.00351,0.8602761008870292,44.399452,87.62249,0.7995002289155334,62.19872,107.9571,73.71537,0.7429444406709376
86.40528,0.8868991406739778,42.273838,82.08604,0.8671551024684786,55.855026,112.39778,70.40741,0.7902828080822806
72.17263,0.912877683340285,36.384277,87.7801,0.8380680280311065,59.929512,110.88172,73.568275,0.6930549125417366
86.22605,0.8791524041701311,39.105442,81.04149,0.8561932976077934,58.464798,116.26728,73.92482,0.7353763425466222
82.47709,0.8906893678181526,35.909565,84.62432,0.8590768423141129,58.62392,108.30838,70.18537,0.7938915859716266
79.35027,0.9025460673724626,32.81987,82.63131,0.8637411868651886,54.782818,105.264946,64.99983,0.8151844787201408
81.40864,0.896302920843737,35.33258,72.14199,0.8456775436521186,50.994762,103.01334,66.078705,0.8256512794070731
79.271545,0.9010360911169417,31.68281,73.11193,0.842450595315958,50.98331,103.27738,72.26317,0.7767146655005429
63.426823,0.9344466687847203,35.366974,80.11028,0.832544734555619,60.28922,118.52949,84.22437,0.7576250968816771
82.0715,0.8954708564810533,43.09191,74.13552,0.8900044694296428,52.6957,98.29833,68.03734,0.841023516895457
77.61424,0.9003800921790515,38.304497,84.42872,0.851068709041652,57.968033,102.55232,72.33545,0.8312618638616178
73.044014,0.916169505629089,35.77982,84.51869,0.8581967401294983,56.700012,101.12552,67.70834,0.8245046434140786
68.6613,0.9223770275663107,31.175398,87.771805,0.8463809068265491,57.134262,98.13761,62.234882,0.8372289956350328
51.119015,0.955641422388003,27.505196,76.85568,0.8364721055612495,54.176437,94.8262,60.707096,0.8174883252028602
66.928795,0.9322402970236611,29.443678,82.747734,0.8551446104550963,55.75333,94.03403,61.63705,0.8495389925351684
61.13064,0.93832770853918,26.716362,80.03677,0.8760566426990903,52.60099,92.56595,59.982075,0.8469432823963354
47.987915,0.9607110245420285,29.195156,99.8471,0.7910780939182542,66.00938,75.37481,54.566387,0.8881862135673708
69.988815,0.921960191037928,34.576736,88.884476,0.8532714039151273,60.912544,83.59307,56.052418,0.8839680468983659
64.923546,0.9350517093679849,29.13408,100.52402,0.7945804351430161,64.895645,86.887115,57.78641,0.865009934659771
64.16227,0.9370493736278175,31.301584,89.34171,0.8344977606987463,56.779976,86.12343,58.543484,0.8744510247317077
62.79231,0.9370513137265467,29.463816,71.16536,0.8482830089939475,49.3147,82.97424,57.094048,0.8642208571950347
60.80478,0.9410090761336124,26.728912,70.822845,0.8542147260143353,49.18564,88.52302,57.69674,0.8186038198774368
63.134377,0.9384121720435586,34.29034,89.53887,0.8273759666703937,60.831352,91.71278,68.98174,0.8414314233506832
63.9755,0.9367297306577893,34.82315,83.75671,0.8510888310303619,59.149807,82.77156,54.021923,0.8809692135141621
61.658012,0.9406889041039539,32.944748,88.29767,0.8443477775952211,59.020706,89.49479,62.471695,0.8615623658397027
61.713825,0.9417753313985097,30.50303,88.432755,0.8327527930037687,58.033768,95.17974,66.18466,0.8071049733174556
60.160732,0.9440046505349359,31.040554,96.64459,0.7987214169379424,67.206696,83.090294,58.349915,0.8801998110353997
59.278282,0.9456355189927854,32.00241,88.00829,0.8405444560429791,57.492188,84.73294,57.227654,0.8819077596719608
56.0945,0.9501174216450471,26.85189,88.832085,0.8463012677189645,53.20611,81.88883,53.009518,0.8791264870339095
56.20421,0.9505114043370722,22.728071,83.27527,0.8306103772228527,53.04882,87.31685,58.753162,0.8705269720198379
58.52276,0.9468380241600735,24.543308,87.644554,0.8395631686438153,52.38833,75.21958,47.522488,0.9047116131145547
53.591137,0.9534067425607211,22.466713,84.66692,0.8533465809304328,55.22493,82.42937,53.50545,0.8846971148801218
57.29496,0.9490872660495449,25.046614,79.22749,0.8699621295900003,48.490574,88.60865,53.990658,0.8565995799082269
54.139297,0.9526658133693051,22.45626,75.01398,0.847638744720324,49.95445,78.846954,51.693695,0.8833733091375793
54.851727,0.9526630686316123,22.100573,79.01697,0.8592661424710328,50.061478,88.40035,58.721733,0.8774286828109455
54.2269,0.9541748511895886,23.770956,81.18832,0.8573436011855766,49.506065,89.122086,56.021233,0.8631002565640287
51.935806,0.957912723623739,22.197014,70.418755,0.843395167693079,44.72848,94.84647,60.515583,0.7929342943309897
50.51265,0.9598896445997117,20.23639,81.62813,0.8709530837343271,50.323395,77.76364,47.709526,0.8666762133707002
28.932142,0.9860989055104181,17.435234,77.768295,0.8512984099766872,49.564556,79.3652,48.72737,0.8523816188224836
52.590427,0.9577386785713184,19.651808,84.55804,0.8425974385203385,56.785744,84.53606,56.217564,0.8622637029313448
52.542583,0.956010564357712,23.26263,72.45214,0.8910719134917012,43.39013,89.92326,57.458252,0.8000769680755057
54.382084,0.9554176241319449,23.400314,86.605156,0.8369375158675787,54.427017,85.91072,51.987797,0.8681818031752878
50.76991,0.9597840959102591,19.904972,85.40233,0.8531706947366489,50.23964,92.089745,59.272854,0.8619810603868389
53.594612,0.9557264199274039,21.781193,81.2065,0.8590597135521209,51.15106,89.18387,54.748817,0.8476964222315777
52.14457,0.9575644872436363,20.951439,93.84163,0.8276398194273803,62.100094,91.92064,62.543365,0.8576446804754001
50.84301,0.9592599618355264,20.923405,76.29619,0.8702198798594065,49.642883,93.13727,61.624043,0.860415425751311
50.201035,0.9600209578159971,19.868568,84.69984,0.8419242650767498,52.972607,75.55967,50.108326,0.8976966020020484
48.916878,0.9603705494905541,18.958712,78.14472,0.8659704211712165,50.776405,86.689285,58.595505,0.8654880556599052
49.426395,0.9619061082569513,19.340023,88.51001,0.8364677533567657,52.59246,86.88805,60.11266,0.8671604320015698
50.37398,0.9613851716085567,18.676298,85.999855,0.8391208541350587,56.178623,85.09712,55.430508,0.8818508546328024
47.074406,0.9644092275673726,17.10709,89.950676,0.8359019617324106,54.330467,87.99067,56.618668,0.8316085937569109
50.662212,0.9607814454800205,19.769508,82.25201,0.8526399650664009,53.852524,74.52097,50.075165,0.9041876853751989
48.137028,0.9648116511435013,17.08654,78.83384,0.8335775440515223,47.86032,79.55834,51.606,0.8708301836777826
46.47871,0.9657004676006554,16.953516,81.60706,0.8669047221433733,54.548485,82.011406,51.51159,0.8156678378049667
48.927895,0.962936282914577,19.56952,84.85687,0.8595607949734294,56.236107,80.99096,53.895355,0.8801114216703834
49.137238,0.9634898096462424,18.189552,83.82122,0.8472454855666031,51.60758,81.38204,53.65453,0.8713354595770771
48.047802,0.9641470313556677,21.028929,91.67929,0.8405006066804833,57.09536,91.0117,61.1537,0.8493759334485546
46.39046,0.966686403060129,16.962584,74.49964,0.8564180181476793,50.682396,82.4843,51.408806,0.8895728453514196
44.508392,0.9675434762593141,15.343545,79.00208,0.8359788933310557,48.115498,80.07359,52.931385,0.8957864804948527
46.954296,0.9666443921844265,16.233854,84.27466,0.8592927507672364,51.407104,90.10913,53.508446,0.8732350930893953
46.42179,0.9670730819081896,16.661797,85.19258,0.8282961345667702,51.960587,83.35237,54.681206,0.8884499979530424
45.16788,0.9682544615287865,17.146782,88.93948,0.8360839437860178,52.74775,87.09652,57.88247,0.8613467547391458
46.678734,0.9631681460969751,17.974688,83.1211,0.8558225560776079,49.919632,90.06581,58.825226,0.8715847754745858
47.48826,0.9640506486303893,16.773014,87.240166,0.8482004427791909,55.140614,77.55675,48.79837,0.8994756328933714
46.169586,0.965832578252706,15.445947,92.98465,0.8240033067090645,55.728683,81.99549,52.519436,0.891250026333915
45.72762,0.9670543937367981,16.986076,77.40116,0.8184819910853266,54.434685,86.76681,56.937267,0.8650743709855911
44.293182,0.9695998785092697,18.769073,90.94882,0.8348547095198419,56.549675,88.02337,56.46485,0.8284058307839857
24.583605,0.9897022296457441,16.068459,88.83717,0.8329293575607266,52.7583,88.77311,55.970585,0.8632745134166955
44.42493,0.9688457032654816,17.996756,90.07616,0.8375401695944229,57.39176,87.38953,55.781097,0.8644073099962828
43.674557,0.9695582343145593,16.437284,82.70512,0.8030709752856544,53.582092,83.078896,54.1315,0.8800019380535157
51.172775,0.9597475258621267,23.301928,90.66736,0.8325952455951312,55.08419,89.69294,60.409554,0.8666968318397974
47.57723,0.9653586839880723,21.170298,90.59236,0.8298198091425647,54.94486,92.28844,60.581417,0.8600698247343541
45.237614,0.9683065679887985,19.081984,81.71597,0.8623296288849264,53.087128,90.43174,57.16601,0.8584112880367172
44.556965,0.9688061290747739,17.642895,63.16562,0.9109139286043191,43.120613,82.943146,51.90828,0.8817804846792444
44.576244,0.969897125369203,16.37928,89.59956,0.8293689616666142,52.458588,82.675804,49.325073,0.8674505437876058
44.74482,0.9689918451825317,15.517827,70.89068,0.857275329435669,45.153202,90.846,59.749752,0.8528856933216923
43.63844,0.969520177229137,14.966025,73.1367,0.8604141914520771,45.949535,84.44243,48.88064,0.887663710595598
42.155956,0.972753701757534,11.73757,77.801094,0.8386867041079188,48.588646,76.58329,49.004158,0.893938787577575
40.87209,0.9740401426756785,12.270457,67.77319,0.9031081625449869,47.53479,81.362785,51.68511,0.8861322959713757
42.982693,0.9709982428249426,11.9890585,81.57611,0.8531990316833766,48.245163,87.38937,53.82747,0.862675495060931
42.51332,0.9717344311582029,14.677708,87.248924,0.8476693865209909,53.52395,86.22152,52.84165,0.8580112754692952
42.178173,0.9718622213177031,15.547207,85.95965,0.849678989263551,53.91522,85.53092,50.396362,0.8134072802392192
40.30698,0.974914595246536,15.283118,70.24493,0.8916892407524206,46.015743,91.029816,57.085144,0.8377485900589996
40.068832,0.9736240420219386,13.936405,86.96737,0.8382453725324669,52.20008,68.19229,41.68606,0.8785911331396411
40.48186,0.9750759906085086,13.704415,66.525116,0.8926070455562781,42.42626,64.73361,42.942448,0.9058994169570905
40.69244,0.9728354400601341,12.389304,83.11992,0.8609842703502836,53.22628,79.09278,51.356613,0.8890631403130453
41.314117,0.9733230103526249,13.903661,78.76749,0.8769301279703985,46.694374,91.95561,56.82261,0.8566054863700235
40.42444,0.9740540904685989,13.827858,74.62439,0.8478742593350702,46.400433,80.62396,52.67342,0.8647926418994986
40.509155,0.974013087004755,13.900914,83.80338,0.8521444166942332,50.93134,89.24798,55.18165,0.8263030634765685
39.58365,0.976553063623769,13.647114,75.41516,0.8156948269601827,44.906227,90.16097,54.043293,0.8109710685999931
40.29028,0.973631747334654,11.876439,86.63135,0.8484467674317197,54.818916,82.78205,49.465523,0.860911150196217
38.98435,0.9765016143640198,10.883562,88.288605,0.8438471207929994,57.852253,90.24803,54.705517,0.8680002981599779
38.950348,0.9764443158631563,11.351357,80.901085,0.8677742074164616,49.39144,76.16986,47.347397,0.8846674975533892
36.922756,0.9789033653367067,11.782246,83.26763,0.8589943540799205,50.353447,90.49388,55.337822,0.8687397472696399
38.14381,0.9771154173097399,11.881271,86.41334,0.8470077893711098,52.58249,79.04167,48.38073,0.8871005048380846
38.271637,0.9775601450518961,10.477282,80.95186,0.8637928095403162,49.707,77.25355,47.30382,0.8851081506640704
38.74706,0.9766479668241346,11.062169,83.58073,0.8506767546651539,52.58876,76.45107,47.892567,0.8885394019670485
37.854763,0.9776579249749312,11.594713,75.88806,0.8798947032749393,50.9775,87.52512,51.892395,0.8468941576616961
34.642017,0.9816306677122859,10.2977495,82.67905,0.8490521447945119,49.21174,86.154335,51.97776,0.8655765449263673
18.166435,0.9945671461950794,8.947915,81.25597,0.858594896170035,46.795555,71.984634,44.4719,0.9065489511689044
37.61432,0.9776145409535945,9.717867,84.84164,0.8493183349382584,51.16333,89.8486,52.612274,0.8675823758107408
37.78202,0.9779917538554711,10.072661,69.52062,0.8217750998200302,41.465706,80.94267,51.883614,0.8527754538415209
37.894123,0.978409464842548,9.823098,85.08131,0.8576646901350711,51.81642,56.646492,41.21849,0.9470914131326137
37.97067,0.9777491705585347,10.093865,86.0123,0.8443734675947826,51.371407,85.79916,52.967575,0.8567364087173008
36.20232,0.9797853593504804,10.781459,87.100174,0.8352240211903147,53.644516,78.60895,47.445972,0.8895633974999373
35.90696,0.9793464516083806,9.704161,67.82361,0.8827497163396101,45.460896,89.364746,53.6754,0.783613618244327
36.92118,0.9769575901912916,11.035834,62.63338,0.8755025801794116,41.80578,82.214,48.71272,0.8612595275398812
36.942936,0.9787696525819003,9.28941,78.07815,0.8583475342347203,47.10679,84.97994,51.05634,0.8710767487613297
35.66754,0.980618254390427,8.237457,72.92735,0.8402672287422881,45.4177,77.8221,49.160553,0.8510911341302331
36.828976,0.9785116581662641,8.763286,84.64375,0.8433915699237329,48.959053,81.369644,49.763058,0.8898584097611858
33.88283,0.9814568065851785,8.270887,74.77798,0.8521594527374816,50.732285,88.265076,54.537506,0.8531532181282092
17.09586,0.995143376052102,7.6410403,78.663605,0.8300949681444636,46.376427,76.88863,47.582367,0.9009447464133433
36.652035,0.9792024152561163,8.250758,79.40643,0.8741323990397035,49.11573,89.87352,53.647274,0.8311463600609102
36.44868,0.9794762947001392,8.249087,89.24288,0.8334518578844747,56.66556,88.89404,52.226448,0.873137963949338
32.493736,0.9836091928132923,7.934893,85.33242,0.8489364480331928,54.35828,89.56436,54.33179,0.8535695626642881
16.600689,0.9953938829161687,7.3627515,63.52439,0.8824945461164126,44.67093,79.55041,49.21492,0.8800872043626694
36.014313,0.9801276057089509,8.291984,84.755325,0.8581363832197002,52.308235,79.28852,50.157166,0.8817473727290511
35.135723,0.9805011900468995,7.341651,84.91614,0.8577432806092594,51.920967,86.23651,50.325138,0.8710723656613685
35.619728,0.9798001775875254,7.5727267,72.4921,0.8647122105965455,44.1408,67.801636,43.19917,0.9122762251872965
34.87604,0.9809000723279423,7.8292594,83.79716,0.8587000994217708,50.094788,87.75302,52.070408,0.8647235089251648
34.493027,0.9816921273681929,7.7582006,82.82796,0.8541800616397173,52.212452,76.49808,46.137234,0.8965543950049258
33.42813,0.9825515945098107,7.3429685,83.948944,0.8514103414681329,51.600006,80.14065,50.03409,0.8957676274640394
34.484337,0.9812310793135185,6.743394,77.54899,0.8143312018535951,46.607018,77.86594,47.903477,0.8860176069546928
34.463085,0.9810482696255456,6.747589,83.13659,0.8626118474481687,50.871742,86.838974,53.27758,0.8581554539993169
34.20803,0.9810159512108945,6.5029607,72.96714,0.8880222341970858,47.27462,78.923676,49.47862,0.8856792637492248
33.956787,0.9820545677454431,8.069042,86.15982,0.8471445597342078,53.81832,86.26199,51.10514,0.8429142578124746
32.892418,0.982678144731962,7.6502786,83.60377,0.8547560709901767,49.923737,79.06122,49.74904,0.897463546031696
32.928185,0.9820028305562623,6.713632,83.19992,0.8610144723753475,49.14407,85.85278,51.325882,0.877983334082672
33.819748,0.9824219246493503,6.8091955,78.03009,0.8291192734125019,48.21874,74.830536,45.72828,0.9007032614354459
33.284576,0.9825567265558827,6.3857236,78.06408,0.8285989509936467,48.747154,87.88316,53.098717,0.8787578959732806
33.270405,0.9828670145133835,6.6516333,82.35094,0.8402823212261309,50.170174,84.98745,48.3722,0.8383246617834532
33.909595,0.9807860242920027,5.577178,82.32328,0.8494621638280091,50.358204,85.70219,51.122585,0.8789833293909356
33.322063,0.9821620079324195,5.8242188,85.16159,0.8565641169497729,51.46627,77.895905,47.12638,0.8862021051325174
32.352745,0.9832942930536717,5.502715,82.41556,0.8497614175758029,49.419632,79.69314,48.77159,0.841624373493061
32.36995,0.9836708813240966,5.8762574,84.73915,0.8486068315606218,50.91542,75.87437,48.079556,0.8682924703067731
32.894497,0.9831587020041646,6.1995068,72.147,0.888673871539632,48.490685,71.270134,45.754147,0.8932597378847315
32.667583,0.9831363984382603,5.241883,81.93248,0.8613416482085603,49.37272,80.696976,47.602547,0.8736262808665125
32.420326,0.9829498180770805,4.863073,77.12711,0.8438230685953483,47.895447,81.592186,51.341576,0.8826175874074755
32.28035,0.9839260022911164,4.864208,67.23985,0.8959140972682214,43.50772,79.67219,48.950256,0.8729350602043571
29.362942,0.9863715264656833,4.279601,82.560104,0.8660505408955396,49.64653,76.09308,46.908424,0.9048536245782399
14.446057,0.9964000861754246,3.759569,79.34774,0.8244204852365193,48.67059,88.02219,54.479088,0.8572154950624905
5.679664,0.9994588876292048,3.174233,82.67452,0.8667718548279617,50.523308,70.224434,44.7017,0.9156888608986531
32.74087,0.9828135872356683,4.7914166,85.32643,0.8562683332385318,51.981705,87.78393,51.32248,0.8623490746745408
32.450016,0.983830141649231,4.3206477,84.56262,0.8484444825842535,51.581383,87.81889,51.643402,0.8616541039401383
32.04398,0.9839150918373711,4.463882,86.778694,0.8500604724423386,54.629814,89.03319,54.189278,0.864786892695923
32.084007,0.9837152646727775,4.4505215,81.956635,0.8522055612779661,47.869064,85.736465,48.58493,0.8685552737747444
32.169,0.9831879337328409,4.198511,83.904434,0.8490255782570295,49.256897,87.91489,52.671757,0.864308372703041
31.755331,0.9834523269263641,4.0732894,85.116516,0.8585240520163585,52.26471,85.17709,50.87319,0.8738930284969169
32.15864,0.9843575972352205,4.1830845,83.619934,0.8522096081518747,50.00389,79.19645,48.49399,0.8941359233696183
32.14524,0.9841155075585164,4.172514,76.52334,0.8366096145506327,47.225327,89.589584,54.32237,0.8158411088004086
31.531889,0.9844943178850676,4.4052258,87.09402,0.8559140668672124,53.87864,85.45538,50.756367,0.8569534767616493
31.403528,0.9842681765663656,4.085205,78.55789,0.857731278799202,44.923447,78.2182,48.53377,0.8914914410490443
31.613058,0.9846179819797559,3.8533373,82.21716,0.8553121108697928,49.806557,82.41507,48.082737,0.8454153019066835
31.386404,0.9842645281470612,3.6735802,69.93123,0.8968423497083151,45.60791,81.17868,51.32729,0.8476839093725794
31.297928,0.9847099819665373,3.6912928,78.25408,0.8735955926516746,46.727642,81.45811,49.616432,0.8777572036718417
4.8730893,0.9995901809125817,1.9374502,69.81561,0.8888781666773565,45.471973,67.157455,42.519287,0.9224689244304612
31.491085,0.9842143342408625,3.564536,83.010056,0.8519225986532084,49.7537,87.45558,51.829666,0.8222596395680692
31.598986,0.9847800504263252,3.4309487,73.14699,0.889419671477492,48.52938,88.827965,52.816444,0.8393836530220959
31.55202,0.9840321269767782,3.4800997,85.11099,0.8405553273913315,52.174698,77.356445,47.40734,0.8760032519562936
31.657967,0.9847760650864106,3.493971,76.27407,0.833571451714255,46.034035,88.90606,53.46889,0.8504543521741335
31.471733,0.9840564045674911,3.4075444,84.77664,0.8610898850326891,51.594776,90.63154,56.34554,0.8380112013764087
31.4708,0.9846868269874918,3.3428545,84.822044,0.8535152917955571,52.24769,76.57477,48.65085,0.869228329236418
31.198643,0.984488792230951,3.1383657,73.905876,0.8404736468773576,44.143612,87.632935,54.338593,0.8633262877243422
31.329649,0.9842289815567763,3.2379162,86.77812,0.8443218372170925,53.856953,84.92482,48.94275,0.8668354381650648
31.259695,0.9844487803238573,3.1160302,84.005806,0.8483018085335434,49.815502,89.130066,54.54704,0.8678276165414939
31.407852,0.984516240148565,3.0685077,77.42642,0.8299559087817858,48.514027,79.29583,48.51986,0.8931455724655767
31.34111,0.9842379472825844,3.0085714,85.40224,0.8521901067017195,51.932068,89.69528,54.628746,0.8149505186515886
31.286259,0.9846556416061545,3.0259116,83.07601,0.8580520406608702,50.765953,80.70535,50.85794,0.8922667580384978
31.359894,0.9842357286717749,3.0009363,83.29808,0.8485054807559221,51.26927,83.674225,49.888893,0.8811849636851791
31.349188,0.984569457054319,2.99147,84.24426,0.8465453052385075,51.93268,84.28639,47.134647,0.8667369088845767
14.035449,0.9967297489150775,1.7156235,71.12073,0.894235972687124,47.297264,87.052345,50.02836,0.8730943475530446
31.286133,0.9845571936810362,2.9570131,87.32979,0.8421628402175481,54.701912,80.455894,50.136013,0.887752684799188
31.303577,0.984574267160665,2.818898,75.33882,0.83105555486974,47.279366,75.15371,44.115715,0.8925313594718743
31.310589,0.9843915611869783,2.9068646,84.25466,0.856483392398294,51.387714,88.99098,53.71839,0.8600517047144097
31.337124,0.9847774306885138,2.8983085,77.83371,0.8334932996050729,47.68066,87.51159,51.756073,0.8536382323907828
31.300192,0.9845090744024207,2.7846956,71.00232,0.8958445226558247,45.427505,85.1917,51.205563,0.868197180753588
31.237837,0.984904546135836,2.7711957,82.190926,0.8658541281728587,49.321873,76.11716,45.351177,0.9030004456837205
31.290987,0.9849660256691617,2.8265307,83.07536,0.8599810099090078,51.001286,88.887566,52.901546,0.8284156185792568
31.306719,0.9841191248666552,2.863558,83.61448,0.8550353393670919,49.217243,89.56008,53.95538,0.8571802685512205
31.300245,0.9836580543156636,2.80375,71.40212,0.8902796962380951,47.058807,64.49925,40.517612,0.9163086402722848
